MRGID,ELEVCLASSMIN,ELEVCLASSMAX,deepsea_area,deepsea_area_km2,eez_v11_GEONAME,eez_v11_MRGID_TER1,eez_v11_POL_TYPE,eez_v11_MRGID_SOV1,eez_v11_TERRITORY1,eez_v11_ISO_TER1,eez_v11_SOVEREIGN1,eez_v11_MRGID_TER2,eez_v11_MRGID_SOV2,eez_v11_TERRITORY2,eez_v11_ISO_TER2,eez_v11_SOVEREIGN2,eez_v11_MRGID_TER3,eez_v11_MRGID_SOV3,eez_v11_TERRITORY3,eez_v11_ISO_TER3,eez_v11_SOVEREIGN3,eez_v11_X_1,eez_v11_Y_1,eez_v11_MRGID_EEZ,eez_v11_AREA_KM2,eez_v11_ISO_SOV1,eez_v11_ISO_SOV2,eez_v11_ISO_SOV3,eez_v11_UN_SOV1,eez_v11_UN_SOV2,eez_v11_UN_SOV3,eez_v11_UN_TER1,eez_v11_UN_TER2,eez_v11_UN_TER3
"8383",0.5,1.5,1216606726630.38,"1216607",Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina,8624,Overlapping claim,2208,South Georgia and the South Sandwich Islands,SGS,United Kingdom,8624,2149,South Georgia and the South Sandwich Islands,SGS,Argentina,0,0,,,,-31.26381,-56.52404,8383,1237783,GBR,ARG,,"826","32",,"239","239",
"8384",0.5,1.5,473180336677.781,"473180",South African Exclusive Economic Zone (Prince Edward Islands),22598,200NM,2176,Prince Edward Islands,,South Africa,0,0,,,,0,0,,,,37.80854,-46.83292,8384,474897,ZAF,,,"710",,,,,
"8385",0.5,1.5,569749185032.95,"569749",Crozet Islands Exclusive Economic Zone,8627,200NM,17,Crozet Islands,ATF,France,0,0,,,,0,0,,,,51.21218,-46.30696,8385,575375,FRA,,,"250",,,"260",,
"8386",0.5,1.5,512051991801.636,"512052",Amsterdam Island & St. Paul Island Exclusive Economic Zone,48979,200NM,17,Amsterdam and Saint Paul Islands,ATF,France,0,0,,,,0,0,,,,77.54181,-38.29431,8386,512188,FRA,,,"250",,,"260",,
"8387",0.5,1.5,489095498760.283,"489095",Kerguelen Exclusive Economic Zone,8630,200NM,17,Kerguélen,ATF,France,0,0,,,,0,0,,,,68.97460,-48.87795,8387,550817,FRA,,,"250",,,"260",,
"8388",0.5,1.5,413491659739.573,"413492",Heard and McDonald Islands Exclusive Economic Zone,8631,200NM,2147,Heard and McDonald Islands,HMD,Australia,0,0,,,,0,0,,,,73.73051,-53.49863,8388,417321,AUS,,,"36",,,"334",,
"8389",0.5,1.5,373924345871.348,"373924",Overlapping claim Falkland / Malvinas Islands: UK / Argentina,8623,Overlapping claim,2208,Falkland / Malvinas Islands,FLK,United Kingdom,8623,2149,Falkland / Malvinas Islands,FLK,Argentina,0,0,,,,-58.32237,-51.66703,8389,550566,GBR,ARG,,"826","32",,"238","238",
"8390",0.5,1.5,133148656800.488,"133149",Sierra Leonian Exclusive Economic Zone,2191,200NM,2191,Sierra Leone,SLE,Sierra Leone,0,0,,,,0,0,,,,-14.14468,6.63541,8390,160584,SLE,,,"694",,,"694",,
"8391",0.5,1.5,233135123802.675,"233135",Liberian Exclusive Economic Zone,2105,200NM,2105,Liberia,LBR,Liberia,0,0,,,,0,0,,,,-10.17763,3.80280,8391,251781,LBR,,,"430",,,"430",,
"8392",0.5,1.5,14282013834.5047,"14282",Togolese Exclusive Economic Zone,8632,200NM,8632,Togo,TGO,Togo,0,0,,,,0,0,,,,1.82135,4.63949,8392,15447,TGO,,,"768",,,"768",,
"8393",0.5,1.5,32211940811.7865,"32212",Beninese Exclusive Economic Zone,2139,200NM,2139,Benin,BEN,Benin,0,0,,,,0,0,,,,2.42123,4.84155,8393,35493,BEN,,,"204",,,"204",,
"8394",0.5,1.5,25611742364.1314,"25612",Congolese Exclusive Economic Zone,8633,200NM,8633,Republic of the Congo,COG,Republic of the Congo,0,0,,,,0,0,,,,10.59577,-5.33648,8394,33807,COG,,,"178",,,"178",,
"8395",0.5,1.5,468966701251.305,"468967",Namibian Exclusive Economic Zone,2218,200NM,2218,Namibia,NAM,Namibia,0,0,,,,0,0,,,,12.28547,-23.64969,8395,562212,NAM,,,"516",,,"516",,
"8396",0.5,1.5,914068005275.103,"914068",South African Exclusive Economic Zone,2176,200NM,2176,South Africa,ZAF,South Africa,0,0,,,,0,0,,,,24.44331,-33.50802,8396,1072679,ZAF,,,"710",,,"710",,
"8397",0.5,1.5,129167299836.379,"129167",Sao Tome and Principe Exclusive Economic Zone,2238,200NM,2238,Sao Tome and Principe,STP,Sao Tome and Principe,0,0,,,,0,0,,,,6.35335,0.77910,8397,130844,STP,,,"678",,,"678",,
"8398",0.5,1.5,292980701379.914,"292981",Equatorial Guinean Exclusive Economic Zone,2112,200NM,2112,Equatorial Guinea,GNQ,Equatorial Guinea,0,0,,,,0,0,,,,5.43745,-1.37183,8398,304133,GNQ,,,"226",,,"226",,
"8400",0.5,1.5,203895769834.021,"203896",Ghanaian Exclusive Economic Zone,2100,200NM,2100,Ghana,GHA,Ghana,0,0,,,,0,0,,,,-0.85027,3.50201,8400,227500,GHA,,,"288",,,"288",,
