id_num,zone_name,zone_type,total_area,deepsea_area_km2,frac_deepsea,name_territory,name_sov,iso3_territory,iso3_sov
8443,Palmyra Atoll Exclusive Economic Zone,200NM,353670,353952.06446639897,1.0007975357434868,Palmyra Atoll,United States,UMI,USA
33179,Puerto Rican Exclusive Economic Zone,200NM,154661,149001.41836664846,0.9634065366617859,Puerto Rico,United States,PRI,USA
26518,Saba Exclusive Economic Zone,200NM,9487,7178.354166679094,0.7566516461135337,Saba,Netherlands,BES,NLD
48952,Saint-Barthélemy Exclusive Economic Zone,200NM,4179,2380.614283511168,0.5696612307995138,Saint-Barthélemy,France,BLM,FRA
26526,Sint-Eustatius Exclusive Economic Zone,200NM,2176,2003.0586267742447,0.9205232659808109,Sint-Eustatius,Netherlands,BES,NLD
8413,Saint Kitts and Nevis Exclusive Economic Zone,200NM,9502,8729.117545938852,0.9186610761880502,Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,KNA
8416,Saint Lucia Exclusive Economic Zone,200NM,15413,14800.588761768395,0.9602665776791277,Saint Lucia,Saint Lucia,LCA,LCA
8495,Saint-Martin Exclusive Economic Zone,200NM,1100,663.8661024953244,0.6035146386321131,Collectivity of Saint Martin,France,MAF,FRA
8494,Saint-Pierre and Miquelon Exclusive Economic Zone,200NM,12414,4511.917403110573,0.36345395546242737,Saint-Pierre and Miquelon,France,SPM,FRA
8421,Saint Vincent and the Grenadines Exclusive Economic Zone,200NM,36244,34274.25583317222,0.9456532345539184,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,VCT
21803,Sint-Maarten Exclusive Economic Zone,200NM,466,333.2556742788343,0.715140931928829,Sint-Maarten,Netherlands,SXM,NLD
8420,Trinidad and Tobago Exclusive Economic Zone,200NM,76562,53152.62824825496,0.6942429436045944,Trinidad and Tobago,Trinidad and Tobago,TTO,TTO
8405,Turks and Caicos Exclusive Economic Zone,200NM,91025,85856.4531901377,0.9432183816549048,Turks and Caicos Islands,United Kingdom,TCA,GBR
33180,Virgin Islander Exclusive Economic Zone,200NM,38275,36275.19456571297,0.9477516542315603,United States Virgin Islands,United States,VIR,USA
5688,Portuguese Exclusive Economic Zone,200NM,315501,290653.6452943062,0.9212447671934676,Portugal,Portugal,PRT,PRT
8428,El Salvador Exclusive Economic Zone,200NM,95099,76681.39570016792,0.8063323031805584,El Salvador,El Salvador,SLV,SLV
8457,Belizean Exclusive Economic Zone,200NM,34312,24186.476338680153,0.7048984710503658,Belize,Belize,BLZ,BLZ
8406,Cuban Exclusive Economic Zone,200NM,352259,295004.2041234903,0.8374639232027864,Cuba,Cuba,CUB,CUB
8408,Haitian Exclusive Economic Zone,200NM,103485,98358.3181100027,0.9504596618833908,Haiti,Haiti,HTI,HTI
33178,Martinican Exclusive Economic Zone,200NM,47787,46240.64219902312,0.9676406177207842,Martinique,France,MTQ,FRA
48964,Joint regime area Senegal / Guinea Bissau,Joint regime,63460,60855.19431770206,0.958953582062749,Senegal,Senegal,SEN,SEN
48964,Joint regime area Senegal / Guinea Bissau,Joint regime,63460,60855.19431770206,0.958953582062749,Guinea-Bissau,Guinea-Bissau,GNB,GNB
48965,Overlapping claim: Venezuela / Aruba / Dominican Republic,Overlapping claim,1113,1114.7556286253212,1.0015773842096327,Venezuela,Venezuela,VEN,VEN
48965,Overlapping claim: Venezuela / Aruba / Dominican Republic,Overlapping claim,1113,1114.7556286253212,1.0015773842096327,Aruba,Netherlands,ABW,NLD
48965,Overlapping claim: Venezuela / Aruba / Dominican Republic,Overlapping claim,1113,1114.7556286253212,1.0015773842096327,Dominican Republic,Dominican Republic,DOM,DOM
48966,Joint regime area Spain / France,Joint regime,2859,2859.508814520481,1.000177969402057,France,France,FRA,FRA
48966,Joint regime area Spain / France,Joint regime,2859,2859.508814520481,1.000177969402057,Spain,Spain,ESP,ESP
48967,Joint regime area United Kingdom / Denmark (Faeroe Islands),Joint regime,8011,7937.2265535823335,0.9907909815980943,United Kingdom,United Kingdom,GBR,GBR
48967,Joint regime area United Kingdom / Denmark (Faeroe Islands),Joint regime,8011,7937.2265535823335,0.9907909815980943,Faeroe,Denmark,FRO,DNK
48943,Overlapping claim: Canada / USA,Overlapping claim,24772,23313.495179374448,0.9411228475445845,Canada,Canada,CAN,CAN
48943,Overlapping claim: Canada / USA,Overlapping claim,24772,23313.495179374448,0.9411228475445845,United States,United States,USA,USA
48968,Joint regime area Costa Rica / Ecuador (Galapagos),Joint regime,17337,17337.17249836431,1.000009949723961,Costa Rica,Costa Rica,CRI,CRI
8425,Nicaraguan Exclusive Economic Zone,200NM,213813,131867.42068626577,0.6167418290107045,Nicaragua,Nicaragua,NIC,NIC
8460,Guyanese Exclusive Economic Zone,200NM,135060,85010.41162262845,0.629427007423578,Guyana,Guyana,GUY,GUY
48969,Joint regime area Guyana / Barbados,Joint regime,67,67.15752233873604,1.0023510796826276,Barbados,Barbados,BRB,BRB
48969,Joint regime area Guyana / Barbados,Joint regime,67,67.15752233873604,1.0023510796826276,Guyana,Guyana,GUY,GUY
48970,Joint regime area Colombia / Dominican Republic,Joint regime,13111,13110.200917407034,0.9999390525060662,Dominican Republic,Dominican Republic,DOM,DOM
48970,Joint regime area Colombia / Dominican Republic,Joint regime,13111,13110.200917407034,0.9999390525060662,Colombia,Colombia,COL,COL
